Family,Member,Total_Images,Avg_Similarity,Status
F0646,MID5,7,0.6559058427810669,processed
F0863,MID2,5,0.6525291800498962,processed
F0863,MID3,3,0.6061758399009705,processed
F0863,MID4,2,0.742516040802002,processed
F0863,MID1,8,0.6442773938179016,processed
F0932,MID4,4,0.7371011972427368,processed
F0932,MID1,10,0.5570729970932007,processed
F0932,MID2,6,0.5625015497207642,processed
F0932,MID5,3,0.7202348113059998,processed
F0932,MID3,2,0.45823967456817627,processed
F0506,MID3,5,0.560907244682312,processed
F0506,MID1,9,0.6725136637687683,processed
F0506,MID6,3,0.4848109185695648,processed
F0506,MID2,6,0.6237605810165405,processed
F0506,MID4,7,0.5469213128089905,processed
F0506,MID5,3,0.4763190746307373,processed
F0247,MID2,6,0.6764531135559082,processed
F0247,MID1,6,0.7160120606422424,processed
F0247,MID3,3,0.6330198645591736,processed
F0020,MID6,2,0.554412305355072,processed
F0020,MID3,3,0.5281328558921814,processed
F0020,MID1,9,0.6298191547393799,processed
F0020,MID5,2,0.8755004405975342,processed
F0020,MID2,2,0.8384780287742615,processed
F0934,MID3,3,0.7193893790245056,processed
F0934,MID2,8,0.6165167093276978,processed
F0934,MID4,5,0.7566967010498047,processed
F0934,MID1,10,0.6537812352180481,processed
F0152,MID3,3,0.7983384728431702,processed
F0152,MID1,5,0.6861716508865356,processed
F0801,MID1,2,0.7685320973396301,processed
F0801,MID2,3,0.7220765948295593,processed
F0423,MID2,5,0.6625925302505493,processed
F0423,MID3,3,0.8140998482704163,processed
F0423,MID5,2,0.8450862169265747,processed
F0423,MID4,2,0.9105814695358276,processed
F0423,MID6,2,0.7530532479286194,processed
F0423,MID1,6,0.692540168762207,processed
F0124,MID1,8,0.4693812131881714,processed
F0124,MID3,2,0.8010609149932861,processed
F0124,MID2,7,0.47983938455581665,processed
F0694,MID1,10,0.570807933807373,processed
F0694,MID3,3,0.7023017406463623,processed
F0694,MID2,8,0.5685716867446899,processed
F0192,MID4,3,0.7564003467559814,processed
F0192,MID3,4,0.6408747434616089,processed
F0192,MID1,5,0.623708963394165,processed
F0192,MID2,3,0.7635700702667236,processed
F0192,MID6,2,0.7290077805519104,processed
F0039,MID1,6,0.5418201088905334,processed
F0039,MID4,3,0.7639161944389343,processed
F0039,MID2,2,0.6189965009689331,processed
F0012,MID1,8,0.7844085693359375,processed
F0012,MID4,2,0.7171109318733215,processed
F0012,MID3,2,0.7227790355682373,processed
F0012,MID2,7,0.6717917323112488,processed
F0774,MID3,7,0.43670061230659485,processed
F0774,MID1,9,0.5819332599639893,processed
F0774,MID2,7,0.6114711761474609,processed
F0774,MID4,6,0.4359370768070221,processed
F0733,MID1,8,0.5574193000793457,processed
F0733,MID4,4,0.6297458410263062,processed
F0733,MID2,5,0.6314553022384644,processed
F0733,MID3,3,0.573589026927948,processed
F0102,MID3,2,0.8445652723312378,processed
F0102,MID4,2,0.8321733474731445,processed
F0102,MID1,9,0.7269260883331299,processed
F0102,MID2,6,0.7467227578163147,processed
F0947,MID1,7,0.6549917459487915,processed
F0947,MID3,7,0.5758523941040039,processed
F0947,MID2,7,0.6700814962387085,processed
F0968,MID3,4,0.4720834493637085,processed
F0968,MID2,9,0.6928041577339172,processed
F0968,MID4,9,0.7951094508171082,processed
F0968,MID1,4,0.5111842751502991,processed
F0672,MID7,2,0.8706483840942383,processed
F0672,MID3,4,0.614358127117157,processed
F0672,MID4,3,0.7393795847892761,processed
F0672,MID1,13,0.6670694947242737,processed
F0672,MID2,9,0.4184063673019409,processed
F0672,MID5,2,0.7627757787704468,processed
F0672,MID6,3,0.7634143233299255,processed
F0464,MID3,9,0.7717006206512451,processed
F0464,MID1,10,0.788611114025116,processed
F0232,MID4,4,0.7306389808654785,processed
F0232,MID1,6,0.7311169505119324,processed
F0232,MID2,6,0.6300964951515198,processed
F0650,MID7,2,0.6842821836471558,processed
F0650,MID6,2,0.761218786239624,processed
F0650,MID5,2,0.7525466084480286,processed
F0650,MID2,3,0.7191808223724365,processed
F0650,MID8,2,0.733452320098877,processed
F0650,MID1,4,0.7046331167221069,processed
F0465,MID2,7,0.6795758008956909,processed
F0465,MID1,7,0.7013532519340515,processed
F0711,MID2,10,0.7648530602455139,processed
F0711,MID1,16,0.6039182543754578,processed
F0711,MID3,10,0.6751907467842102,processed
F0711,MID4,9,0.7558338642120361,processed
